departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;travelTime;travelDistance_m;direcTravelDistance_m
27000.0;p_21;taxibus0;63120;605149.18;5792260.93;52060;604872.3;5790166.78;322.0;27708.0;386.0;2720.03;2494.71
27000.0;p_20;taxibus3;45921;605068.32;5792300.17;52060;604872.3;5790166.78;335.0;27734.0;399.0;2795.89;2570.57
27000.0;p_22;taxibus2;17931;605322.85;5792817.83;52060;604872.3;5790166.78;397.0;27751.0;354.0;3226.3;3226.3
27000.0;p_10;taxibus1;70433;604909.08;5792850.44;52060;604872.3;5790166.78;398.0;27792.0;394.0;3032.85;3032.85
27000.0;p_9;taxibus0;622;605294.51;5792190.07;52060;604872.3;5790166.78;424.0;27708.0;284.0;2467.68;2467.68
27000.0;p_1;taxibus3;622;605294.51;5792190.07;52060;604872.3;5790166.78;450.0;27734.0;284.0;2467.68;2467.68
27000.0;p_8;taxibus1;55679;604813.19;5792814.92;52060;604872.3;5790166.78;467.0;27792.0;325.0;2949.62;2949.62
30600.0;p_37;taxibus1;7376;605715.69;5792480.17;52060;604872.3;5790166.78;436.0;31413.0;377.0;3178.69;3178.69
30600.0;p_48;taxibus1;7376;605715.69;5792480.17;52060;604872.3;5790166.78;436.0;31413.0;377.0;3178.69;3178.69
30600.0;p_41;taxibus2;56139;605351.76;5792723.06;52060;604872.3;5790166.78;436.0;31405.0;369.0;3318.74;3318.74
30600.0;p_47;taxibus2;56139;605351.76;5792723.06;52060;604872.3;5790166.78;436.0;31405.0;369.0;3318.74;3318.74
30600.0;p_49;taxibus0;66867;605656.41;5792820.69;52060;604872.3;5790166.78;474.0;31485.0;411.0;3675.94;3675.94
30600.0;p_46;taxibus3;66867;605656.41;5792820.69;52060;604872.3;5790166.78;481.0;31492.0;411.0;3675.94;3675.94
