time;personId;fromLinkId;toLinkId;fromX;fromY;toX;toY
27000.0;p_2;28420;52060;605608.4538891364;5792553.305592763;604872.2968756263;5790166.781077854
27000.0;p_19;23546;52060;605224.3865778204;5792090.130256634;604872.2968756263;5790166.781077854
27000.0;p_18;56141;52060;605486.9775955947;5792806.973920674;604872.2968756263;5790166.781077854
27000.0;p_17;58743;52060;605374.1069879762;5792568.564684834;604872.2968756263;5790166.781077854
27000.0;p_16;56137;52060;605181.746016506;5792618.426846027;604872.2968756263;5790166.781077854
27000.0;p_15;58737;52060;605602.6877634574;5792709.2478175815;604872.2968756263;5790166.781077854
27000.0;p_14;51193;52060;605571.0668754668;5792277.890149909;604872.2968756263;5790166.781077854
27000.0;p_7;7376;52060;605715.6944919545;5792480.165963428;604872.2968756263;5790166.781077854
27000.0;p_13;10487;52060;605675.8931904286;5792683.312823232;604872.2968756263;5790166.781077854
27000.0;p_12;10489;52060;605741.898072813;5792600.433192672;604872.2968756263;5790166.781077854
27000.0;p_11;28106;52060;605015.7309904629;5792720.805352619;604872.2968756263;5790166.781077854
27000.0;p_0;56127;52060;605343.3716602607;5792508.041174266;604872.2968756263;5790166.781077854
27000.0;p_6;56123;52060;605296.0152299623;5792645.9170975685;604872.2968756263;5790166.781077854
27000.0;p_5;23546;52060;605224.3865778204;5792090.130256634;604872.2968756263;5790166.781077854
27000.0;p_4;58739;52060;605529.5352287594;5792664.217831938;604872.2968756263;5790166.781077854
27000.0;p_3;66867;52060;605656.4133899028;5792820.686095752;604872.2968756263;5790166.781077854
27000.0;p_25;19906;52060;604958.4057100819;5792563.884847946;604872.2968756263;5790166.781077854
27000.0;p_24;44824;52060;605275.8026555215;5792921.337902745;604872.2968756263;5790166.781077854
27000.0;p_23;10394;52060;605464.217329911;5792379.1773892855;604872.2968756263;5790166.781077854
30600.0;p_45;37568;52060;605135.3005774419;5792177.399138998;604872.2968756263;5790166.781077854
30600.0;p_44;63122;52060;605235.9514361453;5792313.330633227;604872.2968756263;5790166.781077854
30600.0;p_43;62664;52060;605629.1073115799;5792948.940221343;604872.2968756263;5790166.781077854
30600.0;p_42;56131;52060;605402.6360409404;5792340.838925825;604872.2968756263;5790166.781077854
30600.0;p_40;56137;52060;605181.746016506;5792618.426846027;604872.2968756263;5790166.781077854
30600.0;p_39;10485;52060;605620.4597580445;5792761.857096548;604872.2968756263;5790166.781077854
30600.0;p_38;7265;52060;604874.4987624813;5792824.368117597;604872.2968756263;5790166.781077854
30600.0;p_36;62662;52060;605553.1325769736;5792919.109820648;604872.2968756263;5790166.781077854
30600.0;p_35;62660;52060;605491.2706584182;5792894.750429663;604872.2968756263;5790166.781077854
30600.0;p_34;65637;52060;604906.5587733227;5792723.505421538;604872.2968756263;5790166.781077854
30600.0;p_33;51197;52060;605395.2591667676;5792161.016385643;604872.2968756263;5790166.781077854
30600.0;p_32;58257;52060;605464.7619139035;5792969.719167151;604872.2968756263;5790166.781077854
30600.0;p_31;62664;52060;605629.1073115799;5792948.940221343;604872.2968756263;5790166.781077854
30600.0;p_30;10479;52060;605673.5438196931;5792543.25866303;604872.2968756263;5790166.781077854
30600.0;p_29;2939;52060;605281.5787825198;5792511.531282555;604872.2968756263;5790166.781077854
30600.0;p_28;41025;52060;605533.2277905061;5792584.511539629;604872.2968756263;5790166.781077854
30600.0;p_27;56137;52060;605181.746016506;5792618.426846027;604872.2968756263;5790166.781077854
30600.0;p_26;56137;52060;605181.746016506;5792618.426846027;604872.2968756263;5790166.781077854
